"base","f","Alpha","f","LATIN SMALL LETTER F"
"base","f","Alpha","\mathrm{f}","LATIN SMALL LETTER F"
"base","g","Alpha","g","LATIN SMALL LETTER G"
"base","g","Alpha","\mathrm{g}","LATIN SMALL LETTER G"
"base","h","Alpha","h","LATIN SMALL LETTER H"
"base","h","Alpha","\mathrm{h}","LATIN SMALL LETTER H"
"base","i","Alpha","i","LATIN SMALL LETTER I"
"base","i","Alpha","\mathrm{i}","LATIN SMALL LETTER I"
"base","j","Alpha","j","LATIN SMALL LETTER J"
"base","j","Alpha","\mathrm{j}","LATIN SMALL LETTER J"
"base","k","Alpha","k","LATIN SMALL LETTER K"
"base","k","Alpha","\mathrm{k}","LATIN SMALL LETTER K"
"base","l","Alpha","l","LATIN SMALL LETTER L"
"base","l","Alpha","\mathrm{l}","LATIN SMALL LETTER L"
"base","m","Alpha","m","LATIN SMALL LETTER M"
"base","m","Alpha","\mathrm{m}","LATIN SMALL LETTER M"
"base","n","Alpha","n","LATIN SMALL LETTER N"
"base","n","Alpha","\mathrm{n}","LATIN SMALL LETTER N"
"base","o","Alpha","o","LATIN SMALL LETTER O"
"base","o","Alpha","\mathrm{o}","LATIN SMALL LETTER O"
"base","p","Alpha","p","LATIN SMALL LETTER P"
"base","p","Alpha","\mathrm{p}","LATIN SMALL LETTER P"
"base","q","Alpha","q","LATIN SMALL LETTER Q"
"base","q","Alpha","\mathrm{q}","LATIN SMALL LETTER Q"
"base","r","Alpha","r","LATIN SMALL LETTER R"
"base","r","Alpha","\mathrm{r}","LATIN SMALL LETTER R"
"base","s","Alpha","s","LATIN SMALL LETTER S"
"base","s","Alpha","\mathrm{s}","LATIN SMALL LETTER S"
"base","t","Alpha","t","LATIN SMALL LETTER T"
"base","t","Alpha","\mathrm{t}","LATIN SMALL LETTER T"
"base","u","Alpha","u","LATIN SMALL LETTER U"
"base","u","Alpha","\mathrm{u}","LATIN SMALL LETTER U"
"base","v","Alpha","v","LATIN SMALL LETTER V"
"base","v","Alpha","\mathrm{v}","LATIN SMALL LETTER V"
"base","w","Alpha","w","LATIN SMALL LETTER W"
"base","w","Alpha","\mathrm{w}","LATIN SMALL LETTER W"
"base","x","Alpha","x","LATIN SMALL LETTER X"
"base","x","Alpha","\mathrm{x}","LATIN SMALL LETTER X"
"base","y","Alpha","y","LATIN SMALL LETTER Y"
"base","y","Alpha","\mathrm{y}","LATIN SMALL LETTER Y"
"base","z","Alpha","z","LATIN SMALL LETTER Z"
"base","z","Alpha","\mathrm{z}","LATIN SMALL LETTER Z"
"base","{","Open","\{","LEFT CURLY BRACKET"
"base","{","Open","\lbrace","LEFT CURLY BRACKET"
"unicode-math","{","Open","\lbrace","LEFT CURLY BRACKET"
"base","|","Fence","|","vertical bar"
"base","|","Fence","\vert","vertical bar"
"unicode-math","|","Fence","\vert","vertical bar"
"base","}","Close","\}","RIGHT CURLY BRACKET"
"base","}","Close","\rbrace","RIGHT CURLY BRACKET"
"unicode-math","}","Close","\rbrace","RIGHT CURLY BRACKET"
"amsxtra","~","Ord","\sptilde","TILDE"
"base","~","Ord","\sim","TILDE"
"base","\160","Ord","~","nbsp"
"wasysym","\162","Ord","\cent","cent"
"txfonts","\162","Ord","\mathcent","cent"
"base","\163","Ord","\pounds","POUND SIGN, fourier prints a dollar sign"
