"base_!","!"
"unicode-math_\9725","\mdsmwhtsquare"
"unicode-math_\9726","\mdsmblksquare"
"unicode-math_\9727","\lrtriangle"
"amssymb_\9733","\bigstar"
"unicode-math_\9733","\bigstar"
"unicode-math_\9734","\bigwhitestar"
"mathabx_\9737","\Sun"
"unicode-math_\9737","\astrosun"
"wasysym_\9744","\Square"
"wasysym_\9745","\CheckedBox"
"wasysym_\9746","\XBox"
"arevmath_\9749","\steaming"
"arevmath_\9758","\pointright"
"arevmath_\9760","\skull"
"unicode-math_\9761","\danger"
"arevmath_\9762","\radiation"
"arevmath_\9763","\biohazard"
"arevmath_\9775","\yinyang"
"wasysym_\9785","\frownie"
"arevmath_\9785","\sadface"
"wasysym_\9786","\smiley"
"arevmath_\9786","\smileface"
"wasysym_\9787","\blacksmiley"
"arevmath_\9787","\invsmileface"
"unicode-math_\9787","\blacksmiley"
"wasysym_\9788","\sun"
"unicode-math_\9788","\sun"
"wasysym_\9789","\rightmoon"
"mathabx_\9789","\rightmoon"
"unicode-math_\9789","\rightmoon"
"wasysym_\9790","\leftmoon"
"mathabx_\9790","\leftmoon"
"unicode-math_\9790","\leftmoon"
"wasysym_\9791","\mercury"
"mathabx_\9791","\Mercury"
"wasysym_\9792","\female"
"mathabx_\9792","\Venus"
"unicode-math_\9792","\female"
"wasysym_\9793","\earth"
"mathabx_\9793","\varEarth"
"wasysym_\9794","\male"
"mathabx_\9794","\Mars"
"unicode-math_\9794","\male"
"wasysym_\9795","\jupiter"
"mathabx_\9795","\Jupiter"
"wasysym_\9796","\saturn"
"mathabx_\9796","\Saturn"
"wasysym_\9797","\uranus"
"mathabx_\9797","\Uranus"
"wasysym_\9798","\neptune"
"mathabx_\9798","\Neptune"
"wasysym_\9799","\pluto"
"mathabx_\9799","\Pluto"
"wasysym_\9800","\aries"
"mathabx_\9800","\Aries"
"wasysym_\9801","\taurus"
"mathabx_\9801","\Taurus"
"wasysym_\9802","\gemini"
"mathabx_\9802","\Gemini"
"wasysym_\9803","\cancer"
"wasysym_\9804","\leo"
"mathabx_\9804","\Leo"
"wasysym_\9805","\virgo"
"wasysym_\9806","\libra"
"mathabx_\9806","\Libra"
"wasysym_\9807","\scorpio"
"mathabx_\9807","\Scorpio"
"wasysym_\9808","\sagittarius"
"wasysym_\9809","\capricornus"
"wasysym_\9810","\aquarius"
"wasysym_\9811","\pisces"
"base_\9824","\spadesuit"
"unicode-math_\9824","\spadesuit"
"base_\9825","\heartsuit"
"unicode-math_\9825","\heartsuit"
"base_\9826","\diamondsuit"
"unicode-math_\9826","\diamondsuit"
"base_\9827","\clubsuit"
"unicode-math_\9827","\clubsuit"
"txfonts_\9828","\varspadesuit"
"arevmath_\9828","\varspade"
"unicode-math_\9828","\varspadesuit"
"txfonts_\9829","\varheartsuit"
"arevmath_\9829","\varheart"
"unicode-math_\9829","\varheartsuit"
"txfonts_\9830","\vardiamondsuit"
"arevmath_\9830","\vardiamond"
"unicode-math_\9830","\vardiamondsuit"
"txfonts_\9831","\varclubsuit"
"arevmath_\9831","\varclub"
"unicode-math_\9831","\varclubsuit"
"arevmath_\9833","\quarternote"
"wasysym_\9833","\quarternote"
"unicode-math_\9833","\quarternote"
"arevmath_\9834","\eighthnote"
"unicode-math_\9834","\eighthnote"
"wasysym_\9835","\twonotes"
"unicode-math_\9835","\twonotes"
"arevmath_\9836","\sixteenthnote"
"base_\9837","\flat"
"unicode-math_\9837","\flat"
"base_\9838","\natural"
"unicode-math_\9838","\natural"
"base_\9839","\sharp"
"oz_\9839","\#"
"unicode-math_\9839","\sharp"
"arevmath_\9851","\recycle"
"unicode-math_\9854","\acidfree"
"unicode-math_\9856","\dicei"
"unicode-math_\9857","\diceii"
"unicode-math_\9858","\diceiii"
"unicode-math_\9859","\diceiv"
"unicode-math_\9860","\dicev"
"unicode-math_\9861","\dicevi"
"unicode-math_\9862","\circledrightdot"
"unicode-math_\9863","\circledtwodots"
"unicode-math_\9864","\blackcircledrightdot"
"unicode-math_\9865","\blackcircledtwodots"
"arevmath_\9875","\anchor"
"arevmath_\9876","\swords"
"arevmath_\9888","\warning"
"unicode-math_\9893","\Hermaphrodite"
"txfonts_\9898","\medcirc"
"unicode-math_\9898","\mdwhtcircle"
"txfonts_\9899","\medbullet"
"unicode-math_\9899","\mdblkcircle"
"unicode-math_\9900","\mdsmwhtcircle"
"unicode-math_\9906","\neuter"
"arevmath_\9998","\pencil"
"amsfonts_\10003","\checkmark"
"arevmath_\10003","\ballotcheck"
"unicode-math_\10003","\checkmark"
"arevmath_\10007","\ballotx"
"amsfonts_\10016","\maltese"
"unicode-math_\10016","\maltese"
"unicode-math_\10026","\circledstar"
"unicode-math_\10038","\varstar"
"unicode-math_\10045","\dingasterisk"
"unicode-math_\10098","\lbrbrak"
"unicode-math_\10099","\rbrbrak"
"unicode-math_\10139","\draftingarrow"
"arevmath_\10146","\arrowbullet"
"unicode-math_\10176","\threedangle"
"unicode-math_\10177","\whiteinwhitetriangle"
"base_\10178","\perp"
"unicode-math_\10178","\perp"
"unicode-math_\10179","\subsetcirc"
"unicode-math_\10180","\supsetcirc"
"stmaryrd_\10181","\Lbag"
"txfonts_\10181","\Lbag"
"stmaryrd -oz_\10181","\lbag"
"unicode-math_\10181","\lbag"
"stmaryrd_\10182","\Rbag"
"txfonts_\10182","\Rbag"
"stmaryrd -oz_\10182","\rbag"
"unicode-math_\10182","\rbag"
"unicode-math_\10183","\veedot"
"unicode-math_\10184","\bsolhsub"
"unicode-math_\10185","\suphsol"
"unicode-math_\10188","\longdivision"
"txfonts_\10192","\Diamonddot"
"unicode-math_\10192","\diamondcdot"
"unicode-math_\10193","\wedgedot"
"unicode-math_\10194","\upin"
"unicode-math_\10195","\pullback"
"unicode-math_\10196","\pushout"
"unicode-math_\10197","\leftouterjoin"
"unicode-math_\10198","\rightouterjoin"
"unicode-math_\10199","\fullouterjoin"
"unicode-math_\10200","\bigbot"
"unicode-math_\10201","\bigtop"
"unicode-math_\10202","\DashVDash"
"unicode-math_\10203","\dashVdash"
"txfonts_\10204","\multimapinv"
"unicode-math_\10204","\multimapinv"
"unicode-math_\10205","\vlongdash"
"unicode-math_\10206","\longdashv"
"unicode-math_\10207","\cirbot"
"unicode-math_\10208","\lozengeminus"
"unicode-math_\10209","\concavediamond"
"unicode-math_\10210","\concavediamondtickleft"
"unicode-math_\10211","\concavediamondtickright"
"unicode-math_\10212","\whitesquaretickleft"
"unicode-math_\10213","\whitesquaretickright"
"stmaryrd_\10214","\llbracket"
"wrisym_\10214","\llbracket"
"kpfonts_\10214","\llbracket"
"fourier_\10214","\llbracket"
"mathbbol_\10214","\Lbrack"
"unicode-math_\10214","\lBrack"
"stmaryrd_\10215","\rrbracket"
"wrisym_\10215","\rrbracket"
"kpfonts_\10215","\rrbracket"
"fourier_\10215","\rrbracket"
"mathbbol_\10215","\Rbrack"
"unicode-math_\10215","\rBrack"
"base_\10216","\langle"
"unicode-math_\10216","\langle"
"base_\10217","\rangle"
"unicode-math_\10217","\rangle"
"oz_\10218","\lang"
"unicode-math_\10218","\lAngle"
"oz_\10219","\rang"
"unicode-math_\10219","\rAngle"
"unicode-math_\10220","\Lbrbrak"
"unicode-math_\10221","\Rbrbrak"
"base_\10222","\lgroup"
"base_\10223","\rgroup"
"unicode-math_\10224","\UUparrow"
"unicode-math_\10225","\DDownarrow"
"unicode-math_\10226","\acwgapcirclearrow"
"unicode-math_\10227","\cwgapcirclearrow"
"unicode-math_\10228","\rightarrowonoplus"
"base_\10229","\longleftarrow"
"unicode-math_\10229","\longleftarrow"
"base_\10230","\longrightarrow"
"unicode-math_\10230","\longrightarrow"
"base_\10231","\longleftrightarrow"
"unicode-math_\10231","\longleftrightarrow"
"base_\10232","\Longleftarrow"
"amsmath_\10232","\impliedby"
"unicode-math_\10232","\Longleftarrow"
"base_\10233","\Longrightarrow"
"amsmath_\10233","\implies"
"unicode-math_\10233","\Longrightarrow"
"base_\10234","\Longleftrightarrow"
"oz_\10234","\iff"
"unicode-math_\10234","\Longleftrightarrow"
"stmaryrd_\10235","\longmapsfrom"
"kpfonts_\10235","\longmappedfrom"
"unicode-math_\10235","\longmapsfrom"
"base_\10236","\longmapsto"
"unicode-math_\10236","\longmapsto"
"stmaryrd_\10237","\Longmapsfrom"
"kpfonts_\10237","\Longmappedfrom"
"unicode-math_\10237","\Longmapsfrom"
"stmaryrd_\10238","\Longmapsto"
"unicode-math_\10238","\Longmapsto"
"unicode-math_\10239","\longrightsquigarrow"
"oz_\10496","\psur"
"oz_\10496","\psurj"
"unicode-math_\10496","\nvtwoheadrightarrow"
"unicode-math_\10497","\nVtwoheadrightarrow"
"unicode-math_\10498","\nvLeftarrow"
"unicode-math_\10499","\nvRightarrow"
"unicode-math_\10500","\nvLeftrightarrow"
"unicode-math_\10501","\twoheadmapsto"
"stmaryrd_\10502","\Mapsfrom"
"kpfonts_\10502","\Mappedfrom"
"unicode-math_\10502","\Mapsfrom"
"stmaryrd_\10503","\Mapsto"
"unicode-math_\10503","\Mapsto"
"unicode-math_\10504","\downarrowbarred"
"unicode-math_\10505","\uparrowbarred"
"unicode-math_\10506","\Uuparrow"
"unicode-math_\10507","\Ddownarrow"
"unicode-math_\10508","\leftbkarrow"
"unicode-math_\10509","\rightbkarrow"
"unicode-math_\10510","\leftdbkarrow"
"unicode-math_\10511","\dbkarow"
"unicode-math_\10512","\drbkarow"
"unicode-math_\10513","\rightdotarrow"
"wrisym_\10514","\UpArrowBar"
"unicode-math_\10514","\baruparrow"
"wrisym_\10515","\DownArrowBar"
"unicode-math_\10515","\downarrowbar"
"oz_\10516","\pinj"
"unicode-math_\10516","\nvrightarrowtail"
"oz_\10517","\finj"
"unicode-math_\10517","\nVrightarrowtail"
"oz_\10518","\bij"
"unicode-math_\10518","\twoheadrightarrowtail"
"unicode-math_\10519","\nvtwoheadrightarrowtail"
"unicode-math_\10520","\nVtwoheadrightarrowtail"
"unicode-math_\10521","\lefttail"
"unicode-math_\10522","\righttail"
"unicode-math_\10523","\leftdbltail"
"unicode-math_\10524","\rightdbltail"
"unicode-math_\10525","\diamondleftarrow"
"unicode-math_\10526","\rightarrowdiamond"
"unicode-math_\10527","\diamondleftarrowbar"
"unicode-math_\10528","\barrightarrowdiamond"
"unicode-math_\10529","\nwsearrow"
"unicode-math_\10530","\neswarrow"
"unicode-math_\10531","\hknwarrow"
"unicode-math_\10532","\hknearrow"
"unicode-math_\10533","\hksearow"
"unicode-math_\10534","\hkswarow"
"unicode-math_\10535","\tona"
"unicode-math_\10536","\toea"
"unicode-math_\10537","\tosa"
"unicode-math_\10538","\towa"
"unicode-math_\10539","\rdiagovfdiag"
"unicode-math_\10540","\fdiagovrdiag"
"unicode-math_\10541","\seovnearrow"
"unicode-math_\10542","\neovsearrow"
"unicode-math_\10543","\fdiagovnearrow"
"unicode-math_\10544","\rdiagovsearrow"
"unicode-math_\10545","\neovnwarrow"
"unicode-math_\10546","\nwovnearrow"
"txfonts_\10547","\leadsto"
"unicode-math_\10547","\rightcurvedarrow"
"unicode-math_\10548","\uprightcurvearrow"
"unicode-math_\10549","\downrightcurvedarrow"
"unicode-math_\10550","\leftdowncurvedarrow"
"unicode-math_\10551","\rightdowncurvedarrow"
"unicode-math_\10552","\cwrightarcarrow"
"unicode-math_\10553","\acwleftarcarrow"
"unicode-math_\10554","\acwoverarcarrow"
"unicode-math_\10555","\acwunderarcarrow"
"unicode-math_\10556","\curvearrowrightminus"
"unicode-math_\10557","\curvearrowleftplus"
"unicode-math_\10558","\cwundercurvearrow"
"unicode-math_\10559","\ccwundercurvearrow"
"unicode-math_\10560","\acwcirclearrow"
"unicode-math_\10561","\cwcirclearrow"
"unicode-math_\10562","\rightarrowshortleftarrow"
"unicode-math_\10563","\leftarrowshortrightarrow"
"unicode-math_\10564","\shortrightarrowleftarrow"
"unicode-math_\10565","\rightarrowplus"
"unicode-math_\10566","\leftarrowplus"
"unicode-math_\10567","\rightarrowx"
"unicode-math_\10568","\leftrightarrowcircle"
"unicode-math_\10569","\twoheaduparrowcircle"
"mathabx_\10570","\leftrightharpoon"
"unicode-math_\10570","\leftrightharpoonupdown"
"mathabx_\10571","\rightleftharpoon"
"unicode-math_\10571","\leftrightharpoondownup"
"unicode-math_\10572","\updownharpoonrightleft"
"unicode-math_\10573","\updownharpoonleftright"
"wrisym_\10574","\leftrightharpoonup"
"unicode-math_\10574","\leftrightharpoonupup"
"wrisym_\10575","\rightupdownharpoon"
"unicode-math_\10575","\updownharpoonrightright"
"wrisym_\10576","\leftrightharpoondown"
"unicode-math_\10576","\leftrightharpoondowndown"
"wrisym_\10577","\leftupdownharpoon"
"unicode-math_\10577","\updownharpoonleftleft"
"wrisym_\10578","\LeftVectorBar"
"unicode-math_\10578","\barleftharpoonup"
"wrisym_\10579","\RightVectorBar"
"unicode-math_\10579","\rightharpoonupbar"
"wrisym_\10580","\RightUpVectorBar"
"unicode-math_\10580","\barupharpoonright"
"wrisym_\10581","\RightDownVectorBar"
"unicode-math_\10581","\downharpoonrightbar"
"wrisym_\10582","\DownLeftVectorBar"
"unicode-math_\10582","\barleftharpoondown"
"wrisym_\10583","\DownRightVectorBar"
"unicode-math_\10583","\rightharpoondownbar"
"wrisym_\10584","\LeftUpVectorBar"
"unicode-math_\10584","\barupharpoonleft"
"wrisym_\10585","\LeftDownVectorBar"
"unicode-math_\10585","\downharpoonleftbar"
"wrisym_\10586","\LeftTeeVector"
"unicode-math_\10586","\leftharpoonupbar"
"wrisym_\10587","\RightTeeVector"
"unicode-math_\10587","\barrightharpoonup"
"wrisym_\10588","\RightUpTeeVector"
"unicode-math_\10588","\upharpoonrightbar"
"wrisym_\10589","\RightDownTeeVector"
"unicode-math_\10589","\bardownharpoonright"
"wrisym_\10590","\DownLeftTeeVector"
"unicode-math_\10590","\leftharpoondownbar"
"wrisym_\10591","\DownRightTeeVector"
"unicode-math_\10591","\barrightharpoondown"
"wrisym_\10592","\LeftUpTeeVector"
"unicode-math_\10592","\upharpoonleftbar"
"wrisym_\10593","\LeftDownTeeVector"
"unicode-math_\10593","\bardownharpoonleft"
"mathabx_\10594","\leftleftharpoons"
"unicode-math_\10594","\leftharpoonsupdown"
"mathabx_\10595","\upupharpoons"
"unicode-math_\10595","\upharpoonsleftright"
"mathabx_\10596","\rightrightharpoons"
"unicode-math_\10596","\rightharpoonsupdown"
"mathabx_\10597","\downdownharpoons"
"unicode-math_\10597","\downharpoonsleftright"
"unicode-math_\10598","\leftrightharpoonsup"
"unicode-math_\10599","\leftrightharpoonsdown"
"unicode-math_\10600","\rightleftharpoonsup"
"unicode-math_\10601","\rightleftharpoonsdown"
"mathabx_\10602","\leftbarharpoon"
"unicode-math_\10602","\leftharpoonupdash"
"mathabx_\10603","\barleftharpoon"
"unicode-math_\10603","\dashleftharpoondown"
"mathabx_\10604","\rightbarharpoon"
"unicode-math_\10604","\rightharpoonupdash"
"mathabx_\10605","\barrightharpoon"
"unicode-math_\10605","\dashrightharpoondown"
"mathabx_\10606","\updownharpoons"
"wrisym_\10606","\upequilibrium"
"unicode-math_\10606","\updownharpoonsleftright"
"mathabx_\10607","\downupharpoons"
"wrisym_\10607","\uprevequilibrium"
"unicode-math_\10607","\downupharpoonsleftright"
"unicode-math_\10608","\rightimply"
"unicode-math_\10609","\equalrightarrow"
"unicode-math_\10610","\similarrightarrow"
"unicode-math_\10611","\leftarrowsimilar"
"unicode-math_\10612","\rightarrowsimilar"
"unicode-math_\10613","\rightarrowapprox"
"unicode-math_\10614","\ltlarr"
"unicode-math_\10615","\leftarrowless"
"unicode-math_\10616","\gtrarr"
"unicode-math_\10617","\subrarr"
"unicode-math_\10618","\leftarrowsubset"
"unicode-math_\10619","\suplarr"
"txfonts_\10620","\strictfi"
"unicode-math_\10620","\leftfishtail"
"txfonts_\10621","\strictif"
"unicode-math_\10621","\rightfishtail"
"unicode-math_\10622","\upfishtail"
"unicode-math_\10623","\downfishtail"
"fourier_\10624","\VERT"
"unicode-math_\10624","\Vvert"
"oz_\10625","\spot"
"oz_\10625","\dot"
"unicode-math_\10625","\mdsmblkcircle"
"unicode-math_\10626","\typecolon"
"unicode-math_\10627","\lBrace"
"unicode-math_\10628","\rBrace"
"mathbbol_\10629","\Lparen"
"unicode-math_\10629","\lParen"
"mathbbol_\10630","\Rparen"
"unicode-math_\10630","\rParen"
"oz_\10631","\limg"
"stmaryrd_\10631","\llparenthesis"
"unicode-math_\10631","\llparenthesis"
"oz_\10632","\rimg"
"stmaryrd_\10632","\rrparenthesis"
"unicode-math_\10632","\rrparenthesis"
"oz_\10633","\lblot"
"unicode-math_\10633","\llangle"
"oz_\10634","\rblot"
"unicode-math_\10634","\rrangle"
"unicode-math_\10635","\lbrackubar"
"unicode-math_\10636","\rbrackubar"
"unicode-math_\10637","\lbrackultick"
"unicode-math_\10638","\rbracklrtick"
"unicode-math_\10639","\lbracklltick"
"unicode-math_\10640","\rbrackurtick"
"unicode-math_\10641","\langledot"
"unicode-math_\10642","\rangledot"
"unicode-math_\10643","\lparenless"
"unicode-math_\10644","\rparengtr"
"unicode-math_\10645","\Lparengtr"
"unicode-math_\10646","\Rparenless"
"unicode-math_\10647","\lblkbrbrak"
"unicode-math_\10648","\rblkbrbrak"
"unicode-math_\10649","\fourvdots"
"unicode-math_\10650","\vzigzag"
"unicode-math_\10651","\measuredangleleft"
"unicode-math_\10652","\rightanglesqr"
"unicode-math_\10653","\rightanglemdot"
"unicode-math_\10654","\angles"
"unicode-math_\10655","\angdnr"
"unicode-math_\10656","\gtlpar"
"unicode-math_\10657","\sphericalangleup"
"unicode-math_\10658","\turnangle"
"unicode-math_\10659","\revangle"
"unicode-math_\10660","\angleubar"
"unicode-math_\10661","\revangleubar"
"unicode-math_\10662","\wideangledown"
"unicode-math_\10663","\wideangleup"
"unicode-math_\10664","\measanglerutone"
"unicode-math_\10665","\measanglelutonw"
"unicode-math_\10666","\measanglerdtose"
"unicode-math_\10667","\measangleldtosw"
"unicode-math_\10668","\measangleurtone"
"unicode-math_\10669","\measangleultonw"
"unicode-math_\10670","\measangledrtose"
"unicode-math_\10671","\measangledltosw"
"unicode-math_\10672","\revemptyset"
"unicode-math_\10673","\emptysetobar"
"unicode-math_\10674","\emptysetocirc"
"unicode-math_\10675","\emptysetoarr"
"unicode-math_\10676","\emptysetoarrl"
"unicode-math_\10677","\circlehbar"
"unicode-math_\10678","\circledvert"
"unicode-math_\10679","\circledparallel"
"txfonts_\10680","\circledbslash"
"unicode-math_\10680","\obslash"
"unicode-math_\10681","\operp"
"unicode-math_\10682","\obot"
"unicode-math_\10683","\olcross"
"unicode-math_\10684","\odotslashdot"
"unicode-math_\10685","\uparrowoncircle"
"unicode-math_\10686","\circledwhitebullet"
"unicode-math_\10687","\circledbullet"
"txfonts_\10688","\circledless"
"unicode-math_\10688","\olessthan"
"txfonts_\10689","\circledgtr"
"unicode-math_\10689","\ogreaterthan"
"unicode-math_\10690","\cirscir"
"unicode-math_\10691","\cirE"
"stmaryrd_\10692","\boxslash"
"txfonts_\10692","\boxslash"
"unicode-math_\10692","\boxdiag"
"stmaryrd_\10693","\boxbslash"
"txfonts_\10693","\boxbslash"
"unicode-math_\10693","\boxbslash"
"stmaryrd_\10694","\boxast"
"txfonts_\10694","\boxast"
"unicode-math_\10694","\boxast"
"stmaryrd_\10695","\boxcircle"
"unicode-math_\10695","\boxcircle"
"stmaryrd_\10696","\boxbox"
"unicode-math_\10696","\boxbox"
"unicode-math_\10697","\boxonbox"
"unicode-math_\10698","\triangleodot"
"unicode-math_\10699","\triangleubar"
"unicode-math_\10700","\triangles"
"unicode-math_\10701","\triangleserifs"
"unicode-math_\10702","\rtriltri"
"wrisym_\10703","\LeftTriangleBar"
"unicode-math_\10703","\ltrivb"
"wrisym_\10704","\RightTriangleBar"
"unicode-math_\10704","\vbrtri"
"unicode-math_\10705","\lfbowtie"
"unicode-math_\10706","\rfbowtie"
"unicode-math_\10707","\fbowtie"
"unicode-math_\10708","\lftimes"
"unicode-math_\10709","\rftimes"
"unicode-math_\10710","\hourglass"
"unicode-math_\10711","\blackhourglass"
"unicode-math_\10712","\lvzigzag"
"unicode-math_\10713","\rvzigzag"
"unicode-math_\10714","\Lvzigzag"
"unicode-math_\10715","\Rvzigzag"
"unicode-math_\10716","\iinfin"
"unicode-math_\10717","\tieinfty"
"unicode-math_\10718","\nvinfty"
"txfonts_\10719","\multimapboth"
"unicode-math_\10719","\dualmap"
"unicode-math_\10720","\laplac"
"unicode-math_\10721","\lrtriangleeq"
"unicode-math_\10722","\shuffle"
"unicode-math_\10723","\eparsl"
"unicode-math_\10724","\smeparsl"
"unicode-math_\10725","\eqvparsl"
"unicode-math_\10726","\gleichstark"
"unicode-math_\10727","\thermod"
"unicode-math_\10728","\downtriangleleftblack"
"unicode-math_\10729","\downtrianglerightblack"
"unicode-math_\10730","\blackdiamonddownarrow"
"amssymb_\10731","\blacklozenge"
"unicode-math_\10731","\mdlgblklozenge"
"unicode-math_\10732","\circledownarrow"
"unicode-math_\10733","\blackcircledownarrow"
"unicode-math_\10734","\errbarsquare"
"unicode-math_\10735","\errbarblacksquare"
"unicode-math_\10736","\errbardiamond"
"unicode-math_\10737","\errbarblackdiamond"
"unicode-math_\10738","\errbarcircle"
"unicode-math_\10739","\errbarblackcircle"
"unicode-math_\10740","\ruledelayed"
"base_\10741","\setminus"
"unicode-math_\10741","\setminus"
"unicode-math_\10742","\dsol"
"unicode-math_\10743","\rsolbar"
"unicode-math_\10744","\xsol"
"oz_\10745","\zhide"
"oz_\10745","\hide"
"unicode-math_\10745","\xbsol"
"unicode-math_\10746","\doubleplus"
"unicode-math_\10747","\tripleplus"
"unicode-math_\10748","\lcurvyangle"
"unicode-math_\10749","\rcurvyangle"
"unicode-math_\10750","\tplus"
"unicode-math_\10751","\tminus"
"base_\10752","\bigodot"
"unicode-math_\10752","\bigodot"
"base_\10753","\bigoplus"
"unicode-math_\10753","\bigoplus"
"base_\10754","\bigotimes"
"unicode-math_\10754","\bigotimes"
"unicode-math_\10755","\bigcupdot"
"base_\10756","\biguplus"
"unicode-math_\10756","\biguplus"
"txfonts_\10757","\bigsqcap"
"unicode-math_\10757","\bigsqcap"
"base_\10758","\bigsqcup"
"unicode-math_\10758","\bigsqcup"
"unicode-math_\10759","\conjquant"
"unicode-math_\10760","\disjquant"
"txfonts_\10761","\varprod"
"unicode-math_\10761","\bigtimes"
"unicode-math_\10762","\modtwosum"
"unicode-math_\10763","\sumint"
"amsmath_\10764","\iiiint"
"esint_\10764","\iiiint"
"unicode-math_\10764","\iiiint"
"unicode-math_\10765","\intbar"
"unicode-math_\10766","\intBar"
"esint_\10767","\fint"
"wrisym_\10767","\fint"
"unicode-math_\10767","\fint"
"unicode-math_\10768","\cirfnint"
"unicode-math_\10769","\awint"
"unicode-math_\10770","\rppolint"
"unicode-math_\10771","\scpolint"
"unicode-math_\10772","\npolint"
"unicode-math_\10773","\pointint"
"esint_\10774","\sqint"
"wrisym_\10774","\sqrint"
"unicode-math_\10774","\sqint"
"unicode-math_\10775","\intlarhk"
"unicode-math_\10776","\intx"
"unicode-math_\10777","\intcap"
"unicode-math_\10778","\intcup"
"unicode-math_\10779","\upint"
"unicode-math_\10780","\lowint"
"amssymb_\10781","\Join"
"unicode-math_\10781","\Join"
"unicode-math_\10782","\bigtriangleleft"
"oz_\10783","\zcmp"
"oz_\10783","\semi"
"unicode-math_\10783","\zcmp"
"oz_\10784","\zpipe"
"unicode-math_\10784","\zpipe"
"oz_\10785","\zproject"
"oz_\10785","\project"
"unicode-math_\10785","\zproject"
"unicode-math_\10786","\ringplus"
"unicode-math_\10787","\plushat"
"unicode-math_\10788","\simplus"
"unicode-math_\10789","\plusdot"
"unicode-math_\10790","\plussim"
"unicode-math_\10791","\plussubtwo"
"unicode-math_\10792","\plustrif"
"unicode-math_\10793","\commaminus"
"unicode-math_\10794","\minusdot"
"unicode-math_\10795","\minusfdots"
"unicode-math_\10796","\minusrdots"
"unicode-math_\10797","\opluslhrim"
"unicode-math_\10798","\oplusrhrim"
"base_\10799","\times"
"unicode-math_\10799","\vectimes"
"unicode-math_\10800","\dottimes"
"unicode-math_\10801","\timesbar"
"unicode-math_\10802","\btimes"
"unicode-math_\10803","\smashtimes"
"unicode-math_\10804","\otimeslhrim"
"unicode-math_\10805","\otimesrhrim"
"unicode-math_\10806","\otimeshat"
"unicode-math_\10807","\Otimes"
"unicode-math_\10808","\odiv"
"unicode-math_\10809","\triangleplus"
"unicode-math_\10810","\triangleminus"
"unicode-math_\10811","\triangletimes"
"unicode-math_\10812","\intprod"
"unicode-math_\10813","\intprodr"
"oz_\10814","\fcmp"
"oz_\10814","\comp"
"unicode-math_\10814","\fcmp"
"base_\10815","\amalg"
"unicode-math_\10815","\amalg"
"unicode-math_\10816","\capdot"
"unicode-math_\10817","\uminus"
"unicode-math_\10818","\barcup"
"unicode-math_\10819","\barcap"
"unicode-math_\10820","\capwedge"
"unicode-math_\10821","\cupvee"
"unicode-math_\10822","\cupovercap"
"unicode-math_\10823","\capovercup"
"unicode-math_\10824","\cupbarcap"
"unicode-math_\10825","\capbarcup"
"unicode-math_\10826","\twocups"
"unicode-math_\10827","\twocaps"
"unicode-math_\10828","\closedvarcup"
"unicode-math_\10829","\closedvarcap"
"unicode-math_\10830","\Sqcap"
"unicode-math_\10831","\Sqcup"
"unicode-math_\10832","\closedvarcupsmashprod"
"unicode-math_\10833","\wedgeodot"
"unicode-math_\10834","\veeodot"
"unicode-math_\10835","\Wedge"
"unicode-math_\10836","\Vee"
"unicode-math_\10837","\wedgeonwedge"
"unicode-math_\10838","\veeonvee"
"unicode-math_\10839","\bigslopedvee"
"unicode-math_\10840","\bigslopedwedge"
"unicode-math_\10841","\veeonwedge"
"unicode-math_\10842","\wedgemidvert"
"unicode-math_\10843","\veemidvert"
"unicode-math_\10844","\midbarwedge"
"unicode-math_\10845","\midbarvee"
"amssymb_\10846","\doublebarwedge"
"unicode-math_\10846","\doublebarwedge"
"unicode-math_\10847","\wedgebar"
"unicode-math_\10848","\wedgedoublebar"
"unicode-math_\10849","\varveebar"
"unicode-math_\10850","\doublebarvee"
"unicode-math_\10851","\veedoublebar"
"oz_\10852","\dsub"
"oz_\10852","\ndres"
"unicode-math_\10852","\dsub"
"oz_\10853","\rsub"
"oz_\10853","\nrres"
"unicode-math_\10853","\rsub"
"unicode-math_\10854","\eqdot"
"unicode-math_\10855","\dotequiv"
"unicode-math_\10856","\equivVert"
"unicode-math_\10857","\equivVvert"
"unicode-math_\10858","\dotsim"
"unicode-math_\10859","\simrdots"
"unicode-math_\10860","\simminussim"
"unicode-math_\10861","\congdot"
"unicode-math_\10862","\asteq"
"unicode-math_\10863","\hatapprox"
"unicode-math_\10864","\approxeqq"
"unicode-math_\10865","\eqqplus"
"unicode-math_\10866","\pluseqq"
"unicode-math_\10867","\eqqsim"
"txfonts_\10868","\Coloneqq"
"base_\10868","::="
"unicode-math_\10868","\Coloneq"
"wrisym_\10869","\Equal"
"base_\10869","=="
"unicode-math_\10869","\eqeq"
"wrisym_\10870","\Same"
"base_\10870","==="
"unicode-math_\10870","\eqeqeq"
"unicode-math_\10871","\ddotseq"
"unicode-math_\10872","\equivDD"
"unicode-math_\10873","\ltcir"
"unicode-math_\10874","\gtcir"
"unicode-math_\10875","\ltquest"
"unicode-math_\10876","\gtquest"
"amssymb_\10877","\leqslant"
"fourier_\10877","\leqslant"
"unicode-math_\10877","\leqslant"
"amssymb_\10878","\geqslant"
"fourier_\10878","\geqslant"
"unicode-math_\10878","\geqslant"
"unicode-math_\10879","\lesdot"
"unicode-math_\10880","\gesdot"
"unicode-math_\10881","\lesdoto"
