"base_!","!"
"base_\981","\phi"
"omlmathrm_\981","\mathrm{\phi}"
"unicode-math_\981","\upphi"
"base_\982","\varpi"
"omlmathrm_\982","\mathrm{\varpi}"
"unicode-math_\982","\upvarpi"
"arevmath_\984","\Qoppa"
"wrisym_\984","\Koppa"
"unicode-math_\984","\upoldKoppa"
"arevmath_\985","\qoppa"
"wrisym_\985","\koppa"
"unicode-math_\985","\upoldkoppa"
"arevmath_\986","\Stigma"
"wrisym_\986","\Stigma"
"unicode-math_\986","\upStigma"
"arevmath_\987","\stigma"
"wrisym_\987","\stigma"
"unicode-math_\987","\upstigma"
"wrisym_\988","\Digamma"
"amssymb_\988","\digamma"
"unicode-math_\988","\upDigamma"
"arevmath_\989","\digamma"
"wrisym_\989","\digamma"
"unicode-math_\989","\updigamma"
"arevmath_\990","\Koppa"
"unicode-math_\990","\upKoppa"
"arevmath_\991","\koppa"
"unicode-math_\991","\upkoppa"
"arevmath_\992","\Sampi"
"wrisym_\992","\Sampi"
"unicode-math_\992","\upSampi"
"arevmath_\993","\sampi"
"wrisym_\993","\sampi"
"unicode-math_\993","\upsampi"
"unicode-math_\1008","\upvarkappa"
"base_\1009","\varrho"
"omlmathrm_\1009","\mathrm{\varrho}"
"unicode-math_\1009","\upvarrho"
"unicode-math_\1012","\upvarTheta"
"base_\1013","\epsilon"
"omlmathrm_\1013","\mathrm{\epsilon}"
"unicode-math_\1013","\upvarepsilon"
"amssymb_\1014","\backepsilon"
"wrisym_\1014","\backepsilon"
"unicode-math_\1014","\upbackepsilon"
"base_\8193","\quad"
"base_\8201","\"
"base_\8203","\hspace{0pt}"
"unicode-math_\8213","\horizbar"
"base_\8214","\|"
"base_\8214","\Vert"
"unicode-math_\8214","\Vert"
"unicode-math_\8215","\twolowline"
"base_\8220","``"
"base_\8221","\"""
"base_\8224","\dagger"
"unicode-math_\8224","\dagger"
"base_\8225","\ddagger"
"unicode-math_\8225","\ddagger"
"base_\8226","\bullet"
"unicode-math_\8226","\smblkcircle"
"unicode-math_\8229","\enleadertwodots"
"base_\8230","\ldots"
"unicode-math_\8230","\unicodeellipsis"
"base_\8242","\prime"
"unicode-math_\8242","\prime"
"mathabx_\8243","\second"
"unicode-math_\8243","\dprime"
"mathabx_\8244","\third"
"unicode-math_\8244","\trprime"
"amssymb_\8245","\backprime"
"unicode-math_\8245","\backprime"
"unicode-math_\8246","\backdprime"
"unicode-math_\8247","\backtrprime"
"unicode-math_\8248","\caretinsert"
"base_\8252","!!"
"unicode-math_\8252","\Exclam"
"oz_\8256","\cat"
"unicode-math_\8256","\tieconcat"
"unicode-math_\8259","\hyphenbullet"
"base_\8260","/"
"unicode-math_\8260","\fracslash"
"base_\8263","??"
"unicode-math_\8263","\Question"
"base_\8270","\ast"
"unicode-math_\8272","\closure"
"base_\8274","./."
"mathabx_\8279","\fourth"
"unicode-math_\8279","\qprime"
"base_\8287","\:"
"amsmath_\8287","\medspace"
"unicode-math_\8364","\euro"
"wrisym_\8400","\lvec"
"unicode-math_\8400","\leftharpoonaccent"
"wrisym_\8401","\vec"
"unicode-math_\8401","\rightharpoonaccent"
"unicode-math_\8402","\vertoverlay"
"wrisym_\8406","\LVec"
"base_\8406","\overleftarrow"
"unicode-math_\8406","\overleftarrow"
"base_\8407","\vec"
"wrisym_\8407","\Vec"
"unicode-math_\8407","\vec"
"amsmath_\8411","\dddot"
"wrisym_\8411","\DDDot"
"unicode-math_\8411","\dddot"
"amsmath_\8412","\ddddot"
"unicode-math_\8412","\ddddot"
"unicode-math_\8413","\enclosecircle"
"unicode-math_\8414","\enclosesquare"
"unicode-math_\8415","\enclosediamond"
"amsmath_\8417","\overleftrightarrow"
"unicode-math_\8417","\overleftrightarrow"
"unicode-math_\8420","\enclosetriangle"
"unicode-math_\8423","\annuity"
"unicode-math_\8424","\threeunderdot"
"unicode-math_\8425","\widebridgeabove"
"unicode-math_\8428","\underrightharpoondown"
"unicode-math_\8429","\underleftharpoondown"
"amsmath_\8430","\underleftarrow"
"unicode-math_\8430","\underleftarrow"
"amsmath_\8431","\underrightarrow"
"unicode-math_\8431","\underrightarrow"
"unicode-math_\8432","\asteraccent"
"mathbb_\8450","\mathbb{C}"
"dsfont_\8450","\mathds{C}"
"unicode-math_\8450","\BbbC"
"wrisym_\8455","\Euler"
"unicode-math_\8455","\Eulerconst"
"urwchancal_\8458","\mathcal{g}"
"unicode-math_\8458","\mscrg"
"base_\8459","\mathcal{H}"
"unicode-math_\8459","\mscrH"
"eufrak_\8460","\mathfrak{H}"
"unicode-math_\8460","\mfrakH"
"mathbb_\8461","\mathbb{H}"
"dsfont_\8461","\mathds{H}"
"unicode-math_\8461","\BbbH"
"base_\8462","h"
"unicode-math_\8462","\Planckconst"
"amssymb_\8463","\hslash"
"fourier_\8463","\hslash"
"arevmath_\8463","\hslash"
"wrisym_\8463","\HBar"
"unicode-math_\8463","\hslash"
"base_\8464","\mathcal{I}"
"unicode-math_\8464","\mscrI"
"base_\8465","\Im"
"eufrak_\8465","\mathfrak{I}"
"unicode-math_\8465","\Im"
"base_\8466","\mathcal{L}"
"unicode-math_\8466","\mscrL"
"base_\8467","\ell"
"unicode-math_\8467","\ell"
"mathbb_\8469","\mathbb{N}"
"dsfont_\8469","\mathds{N}"
"unicode-math_\8469","\BbbN"
"amssymb_\8472","\wp"
"unicode-math_\8472","\wp"
"mathbb_\8473","\mathbb{P}"
"dsfont_\8473","\mathds{P}"
"unicode-math_\8473","\BbbP"
"mathbb_\8474","\mathbb{Q}"
"dsfont_\8474","\mathds{Q}"
"unicode-math_\8474","\BbbQ"
"base_\8475","\mathcal{R}"
"unicode-math_\8475","\mscrR"
"base_\8476","\Re"
"eufrak_\8476","\mathfrak{R}"
"unicode-math_\8476","\Re"
"mathbb_\8477","\mathbb{R}"
"dsfont_\8477","\mathds{R}"
"unicode-math_\8477","\BbbR"
"mathbb_\8484","\mathbb{Z}"
"dsfont_\8484","\mathds{Z}"
"unicode-math_\8484","\BbbZ"
"mathcomp_\8486","\tcohm"
"base_\8486","\mathrm{\Omega}"
"amsfonts_\8487","\mho"
"arevmath_\8487","\mho"
"wrisym_\8487","\Mho"
"unicode-math_\8487","\mho"
"eufrak_\8488","\mathfrak{Z}"
"unicode-math_\8488","\mfrakZ"
